"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up","sd","dist100"
"1","facebook_S",1,6,4.15277358329936,0.588349534514201,"[0.46, 7.87]",0.45970850814141,7.86892815096639,1.31558955370411,0.101418169194275
"2","facebook_S",2,25,1.35402939262204,0.0939383234600647,"[0.38, 2.32]",0.383172778916254,2.32196448562601,0.460201919539354,0.0288807630887724
"3","facebook_S",3,53,2.91939240833858,0.169929393844753,"[0.44, 5.4]",0.436506769958259,5.40137099943271,1.22537828543154,0.07490526060947
"4","facebook_S",4,34,5.09515492034112,0.216416875888364,"[2.53, 7.66]",2.52970351400465,7.66447992344495,1.24322030130875,0.0769819900207859
"5","ooh_S",1,6,0.194988251618398,0.010066309208302,"[0.13, 0.26]",0.132048419116156,0.258815742861019,0.0225089516722954,0.00173520431403489
"6","ooh_S",2,25,0.251704762472096,0.017578289317721,"[0.07, 0.43]",0.0699144717349402,0.432712532122198,0.0861156787588656,0.00540433755459584
"7","ooh_S",3,53,0.416687529828638,0.0159469281920915,"[0.18, 0.65]",0.183474658279498,0.649399543665993,0.114994934565456,0.0070294419648223
"8","ooh_S",4,34,0.71344255758085,0.0174177477387488,"[0.51, 0.92]",0.506586727502814,0.919845812901699,0.100057343046838,0.00619569466154102
"9","print_S",1,6,1.90174052879633,0.0460036462302706,"[1.61, 2.19]",1.61091787372434,2.19025226475489,0.102867280183737,0.00792998940806085
"10","print_S",2,25,0.590426467398625,0.0725747191080135,"[0, 1.34]",0,1.33753031458647,0.355542060080899,0.0206930750984674
"11","print_S",3,53,1.60755418368215,0.0703101579446441,"[0.58, 2.64]",0.584561778052822,2.63882902546608,0.507013759310772,0.0309928764245939
"12","print_S",4,34,2.68883065462098,0.152958458640355,"[0.87, 4.5]",0.874746659295832,4.50388824923352,0.878679447977416,0.0544090958170962
"13","tv_S",1,6,2.00380865907584,0.147946478183916,"[1.07, 2.94]",1.07247309412047,2.93559677816,0.330818382250925,0.0255026307933473
"14","tv_S",2,25,0.335178429075263,0.0331053117034342,"[0, 0.68]",0,0.676169820751411,0.162182242898404,0.0101064071368507
"15","tv_S",3,53,0.859342176772396,0.0298887187723638,"[0.42, 1.3]",0.424167221899021,1.29743244894563,0.215530616183361,0.0131750147415488
"16","tv_S",4,34,1.34328376117017,0.0592589462527778,"[0.64, 2.05]",0.639350711163253,2.04534753104163,0.340416729116912,0.0210790937183051
