"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"1","(Intercept)",0,0,0,0,0,0,0,0,0,TRUE,0.6150938,0.891662644291104,0.857786097979116,0.918835045137754,0.0715018534855693,0.551740133482357,0.455930296857377,0.551740133482357,0.586968233666956,0,30756.599015521,0.000375728,64656754.1763662,1e-04,"1_11_4",1,11,4,114,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,FALSE,NA,NA,NA,NA,NA
"2","trend",1.00177822366465,280418378.991965,0.974159232061386,1786104.32478959,0.862232896407949,280418378.991965,0.974159232061386,1786104.32478959,0.862232896407949,TRUE,0.6150938,0.891662644291104,0.857786097979116,0.918835045137754,0.0715018534855693,0.551740133482357,0.455930296857377,0.551740133482357,0.586968233666956,0,30756.599015521,0.000375728,64656754.1763662,1e-04,"1_11_4",1,11,4,114,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,FALSE,NA,NA,NA,NA,NA
"3","season",0.963016909993979,360408.68038685,0.00125204148378581,2295.5966903621,0.00110818777819632,360408.68038685,0.00125204148378581,2295.5966903621,0.00110818777819632,TRUE,0.6150938,0.891662644291104,0.857786097979116,0.918835045137754,0.0715018534855693,0.551740133482357,0.455930296857377,0.551740133482357,0.586968233666956,0,30756.599015521,0.000375728,64656754.1763662,1e-04,"1_11_4",1,11,4,114,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,FALSE,NA,NA,NA,NA,NA
"4","holiday",0.885847813567371,7077017.97431713,0.0245852016544998,283080.718972685,0.136655795996584,7077017.97431713,0.0245852016544998,283080.718972685,0.136655795996584,TRUE,0.6150938,0.891662644291104,0.857786097979116,0.918835045137754,0.0715018534855693,0.551740133482357,0.455930296857377,0.551740133482357,0.586968233666956,0,30756.599015521,0.000375728,64656754.1763662,1e-04,"1_11_4",1,11,4,114,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,FALSE,NA,NA,NA,NA,NA
"5","tv_S",10,435.875886878302,1.51421073312605e-06,2.7762795342567,1.34023500802075e-06,435.875886878302,1.51421073312605e-06,2.7762795342567,1.34023500802075e-06,TRUE,0.6150938,0.891662644291104,0.857786097979116,0.918835045137754,0.0715018534855693,0.551740133482357,0.455930296857377,0.551740133482357,0.586968233666956,0,30756.599015521,0.000375728,64656754.1763662,1e-04,"1_11_4",1,11,4,114,4,7774236.44,49517.4295541401,88185.3442508307,38667.9146966906,1.26779788368653,0.220230475524517,0.429587662322214,2.56030633072417e-05,5.60667134634127e-05,17835.8947444381,10,FALSE,4.62691141650846e-05,2.04356551237668e-06,3.21882759734487e-05,6.04630991060562e-05,0.597244910324623
"6","ooh_S",10,197.947731936083,6.87660385258388e-07,1.26081357921072,6.08651425980618e-07,197.947731936083,6.87660385258388e-07,1.26081357921072,6.08651425980618e-07,TRUE,0.6150938,0.891662644291104,0.857786097979116,0.918835045137754,0.0715018534855693,0.551740133482357,0.455930296857377,0.551740133482357,0.586968233666956,0,30756.599015521,0.000375728,64656754.1763662,1e-04,"1_11_4",1,11,4,114,4,24719081.6,157446.379617834,158911.42450238,1465.0448845459,1.19490641112242,0.700248202805798,0.195092011245275,7.58929112262081e-06,8.00789184401102e-06,124876.81146042,10,FALSE,9.53094011145521e-06,7.2627007731018e-07,4.47000681443764e-06,1.45186976237516e-05,0.282652687401288
"7","print_S",10,232.126817664779,8.06396796280082e-07,1.47851476219605,7.13745579189719e-07,232.126817664779,8.06396796280082e-07,1.47851476219605,7.13745579189719e-07,TRUE,0.6150938,0.891662644291104,0.857786097979116,0.918835045137754,0.0715018534855693,0.551740133482357,0.455930296857377,0.551740133482357,0.586968233666956,0,30756.599015521,0.000375728,64656754.1763662,1e-04,"1_11_4",1,11,4,114,4,1804904.93333333,11496.2097664544,17851.5523354777,6355.34256902332,1.11801821898095,0.0511297893770449,0.228778007604603,9.72510280947808e-05,0.000128608888688715,7775.51233196953,10,FALSE,8.30426206238672e-05,7.16810287522393e-06,3.33619565230688e-05,0.00013254000575408,0.267032549944028
"8","facebook_S",10,148.687378122159,5.16532413493675e-07,0.947053363835411,4.57185257109153e-07,148.687378122159,5.16532413493675e-07,0.947053363835411,4.57185257109153e-07,TRUE,0.6150938,0.891662644291104,0.857786097979116,0.918835045137754,0.0715018534855693,0.551740133482357,0.455930296857377,0.551740133482357,0.586968233666956,0,30756.599015521,0.000375728,64656754.1763662,1e-04,"1_11_4",1,11,4,114,4,1002234.0659765,6383.65647118789,6417.84907213506,34.1926009471681,0.349324781023884,0.0283915322926395,0.146542318827908,5.47217386462653e-05,0.000148355941161599,6740.54569146466,10,FALSE,0.000194287428550313,8.21394782259378e-06,0.000137490016299871,0.000251138402171386,0.0190089858000162
"9","(Intercept)",0,0,0,0,0,0,0,0,0,TRUE,0.6447491,0.806857587867504,0.712761532044466,0.83356010934494,0.102572970641444,0.663697881055868,0.600730377291758,0.663697881055868,0.547438367069648,0,796938.287889884,0.0122269,64656754.1763662,1e-04,"1_26_3",1,26,3,278,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,FALSE,NA,NA,NA,NA,NA
"10","trend",1.01453152875202,283988292.027514,0.984392321772047,1808842.62437907,0.91350639901075,283988292.027514,0.984392321772047,1808842.62437907,0.91350639901075,TRUE,0.6447491,0.806857587867504,0.712761532044466,0.83356010934494,0.102572970641444,0.663697881055868,0.600730377291758,0.663697881055868,0.547438367069648,0,796938.287889884,0.0122269,64656754.1763662,1e-04,"1_26_3",1,26,3,278,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,FALSE,NA,NA,NA,NA,NA
"11","season",0.700007516877514,261977.52375945,0.000908096108556019,1668.64664814936,0.000842704263061878,261977.52375945,0.000908096108556019,1668.64664814936,0.000842704263061878,TRUE,0.6447491,0.806857587867504,0.712761532044466,0.83356010934494,0.102572970641444,0.663697881055868,0.600730377291758,0.663697881055868,0.547438367069648,0,796938.287889884,0.0122269,64656754.1763662,1e-04,"1_26_3",1,26,3,278,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,FALSE,NA,NA,NA,NA,NA
"12","holiday",0.530707857782526,4239812.96912987,0.0146965190105676,169592.518765195,0.0856480541913023,4239812.96912987,0.0146965190105676,169592.518765195,0.0856480541913023,TRUE,0.6447491,0.806857587867504,0.712761532044466,0.83356010934494,0.102572970641444,0.663697881055868,0.600730377291758,0.663697881055868,0.547438367069648,0,796938.287889884,0.0122269,64656754.1763662,1e-04,"1_26_3",1,26,3,278,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,FALSE,NA,NA,NA,NA,NA
