"","ds","dep_var","trend","season","holiday","tv_S","ooh_S","print_S","facebook_S","intercept","depVarHat","solID","cluster","top_sol"
"1",2016-01-04,2171506.66666667,1736771.00952969,654555.655845956,0,2.43507402884964,4.62106385127435,1.96845787949586,2.14012234372461,0,2391337.83009375,"1_38_2",10,FALSE
"2",2016-01-11,2464131.66666667,1737947.86850158,467899.289485102,0,1.54144713845764,1.2996430049788,5.852353960728,2.39003164864782,0,2205858.24146244,"1_38_2",10,FALSE
"3",2016-01-18,2012520,1739124.72750317,304460.919539139,0,0.810111526951981,0.253158392484765,1.37854111482265,2.08369425905817,0,2043590.17254761,"1_38_2",10,FALSE
"4",2016-01-25,1738911.66666667,1740301.58650476,225591.048185988,0,0.408979367397046,0.0449586136486366,2.83744330976507,1.56347219933396,0,1965897.48954424,"1_38_2",10,FALSE
"5",2016-02-01,1772306.66666667,1741478.44550635,193593.94475999,0,1.17082578856513,1.20747182128168,0.429633136904494,0.0957509457576965,0,1935075.29394803,"1_38_2",10,FALSE
"6",2016-02-08,1809058.33333333,1742655.30450794,142848.946132642,0,0.602799246900631,0.233214896785956,0.75455081832236,1.22408400818029,0,1885507.06528955,"1_38_2",10,FALSE
"7",2016-02-15,1952740,1743832.16350953,56167.5183768456,0,4.20571693710188,0.0413472533261266,0.409906271747055,0.489334854418967,0,1800004.82819169,"1_38_2",10,FALSE
"8",2016-02-22,1507805,1745009.02251112,-40891.3992241975,0,2.59867429647934,0.00721396588938926,0.0482029133223853,0.0267686366099108,0,1704120.30414673,"1_38_2",10,FALSE
"9",2016-02-29,1510391.66666667,1746185.88165251,-133904.029880467,0,3.91810847917888,0.00125508865817403,0.00548584491191857,0.527459451410263,0,1612286.30408091,"1_38_2",10,FALSE
"10",2016-03-07,1588840,1747362.7407939,-234356.157689529,0,2.37590089908086,0.000218253319450936,3.52993444043558,0.0289639633918407,0,1513012.51812193,"1_38_2",10,FALSE
"11",2016-03-14,1605990,1748539.5999353,-342060.572342523,0,2.58405804652486,1.23858295268643,0.582257174331043,0.00151511987964631,0,1406483.43400607,"1_38_2",10,FALSE
"12",2016-03-21,1356010,1749716.45907669,-426022.015812183,19494.2975734757,1.44241198026478,0.23990872579522,0.0695738395803109,7.90504720235275e-05,0,1343190.49281158,"1_38_2",10,FALSE
"13",2016-03-28,2103936.66666667,1750893.31821808,-465544.720841391,804573.072054186,0.753875590251313,1.83300640419544,2.84472411927278,3.08499993845652,0,2089930.18603693,"1_38_2",10,FALSE
"14",2016-04-04,1120835,1752070.17735947,-494544.681629598,0,0.379439321147867,0.375592732071659,0.43110743580229,0.233426490260881,0,1257526.91529585,"1_38_2",10,FALSE
"15",2016-04-11,1141140,1753247.03650086,-571257.05455643,0,0.187213136867929,1.86199070403092,0.0507951528273842,0.0124526524266829,0,1181992.09439608,"1_38_2",10,FALSE
"16",2016-04-18,1166880,1754423.89469418,-695441.681037344,0,0.662286346495457,0.382611404826168,0.00578219550473764,0.475888241707353,0,1058983.74022502,"1_38_2",10,FALSE
"17",2016-04-25,888806.666666667,1755600.75288749,-783537.927090871,241093.371915464,0.331708786683848,0.0686986695493709,0.000655579784081977,0.02599830458588,0,1213156.62477343,"1_38_2",10,FALSE
"18",2016-05-02,898873.333333333,1756777.61108081,-755764.193130173,-78492.2552046773,0.163252846978312,0.012013278453874,2.39931273151611,0.00135960150707872,0,922523.738684415,"1_38_2",10,FALSE
"19",2016-05-09,889373.333333334,1757954.46927412,-643466.133044293,0,0.0796413533606664,1.39643638242925,0.345366224268779,7.09353483287646e-05,0,1114490.15774472,"1_38_2",10,FALSE
"20",2016-05-16,1915375,1759131.32746744,-578622.631189129,453836.29679786,0.0386838760992698,0.274471596002798,0.0403735715989302,1.09614883936802,0,1634346.44275405,"1_38_2",10,FALSE
"21",2016-05-23,1006845,1760308.18566075,-657850.531361904,0,0.0187499536778935,3.04209192911325,0.00459160719876083,0.0638126100608336,0,1102460.78354495,"1_38_2",10,FALSE
"22",2016-05-30,869198.333333334,1761485.04292414,-830787.802428243,0,0.00907868201779695,0.706503333110595,0.000520537043422422,0.00334916355527495,0,930697.959947608,"1_38_2",10,FALSE
"23",2016-06-06,727250,1762661.90018752,-947189.272165971,0,0.00439367988704644,0.130458821532683,5.89904555081748e-05,0.000174770988018076,0,815472.763107814,"1_38_2",10,FALSE
"24",2016-06-13,753730,1763838.75745091,-914385.04165352,0,0.00212583199095324,0.0229308888104725,6.68488721915229e-06,9.1174131286707e-06,0,849453.740869912,"1_38_2",10,FALSE
"25",2016-06-20,999196.666666667,1765015.61471429,-784929.359314083,0,1.03720515164771,3.00143428615826,7.57537969386292e-07,0.507729823388446,0,980090.801770231,"1_38_2",10,FALSE
"26",2016-06-27,845843.333333333,1766192.47197768,-677420.757743681,0,0.530112484750394,0.693947644811763,8.58448997934723e-08,0.0278257922388884,0,1088772.96612001,"1_38_2",10,FALSE
"27",2016-07-04,1126016.66666667,1767369.32924107,-633175.100338674,0,0.843879834856543,0.127999363338679,0.532037949154706,0.00145542411613645,0,1134195.73427496,"1_38_2",10,FALSE
"28",2016-07-11,1140978.33333333,1768546.18650445,-583377.127963077,0,0.426803621725452,0.0224939670181514,0.0632760543357876,7.59354516088894e-05,0,1185169.57119096,"1_38_2",10,FALSE
"29",2016-07-18,1242656.66666667,1769723.0435199,-458304.616181524,0,0.303757074781167,5.41571048836737,0.562786586041973,1.02424797445601,0,1311425.7338405,"1_38_2",10,FALSE
"30",2016-07-25,1293483.33333333,1770899.90053535,-292130.038795501,0,0.149277042479004,1.70407804445121,0.0671251068520992,0.0591768324098045,0,1478771.84139687,"1_38_2",10,FALSE
"31",2016-08-01,1484843.33333333,1772076.75755079,-186251.206954483,0,1.72808305525604,3.84555103826783,0.00765222319741375,2.24817916285491,0,1585833.38006179,"1_38_2",10,FALSE
"32",2016-08-08,1485698.33333333,1773253.61456624,-177217.421004547,0,0.917806635696674,0.979982266246226,0.0227320333035937,0.14903932512699,0,1596038.26312195,"1_38_2",10,FALSE
"33",2016-08-15,1556608.33333333,1774430.47158168,-179605.167433308,0,2.29284424211425,0.185406335196319,0.00258121746614804,0.136565962619202,0,1594827.92154613,"1_38_2",10,FALSE
