"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"1","(Intercept)",1294767.56154161,203278507.162033,0.554190928098423,1294767.56154161,0.167937935078267,203278507.162033,0.554190928098423,1294767.56154161,0.167937935078267,TRUE,0.6324515,-96.6592857690398,-82.9673268303568,-123.293380578559,2.2768999280771,12.1686544302923,17.2801361667253,12.1686544302923,0.6035532307407,0,25956251.0259479,0.401387,64656754.1763662,1e-04,"1_27_11",1,27,11,297,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"2","trend",0,0,0,0,0,0,0,0,0,TRUE,0.6324515,-96.6592857690398,-82.9673268303568,-123.293380578559,2.2768999280771,12.1686544302923,17.2801361667253,12.1686544302923,0.6035532307407,0,25956251.0259479,0.401387,64656754.1763662,1e-04,"1_27_11",1,27,11,297,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"3","season",10,3742495.86530212,0.0102030327059764,23837.5532821791,0.0030918518461807,3742495.86530212,0.0102030327059764,23837.5532821791,0.0030918518461807,TRUE,0.6324515,-96.6592857690398,-82.9673268303568,-123.293380578559,2.2768999280771,12.1686544302923,17.2801361667253,12.1686544302923,0.6035532307407,0,25956251.0259479,0.401387,64656754.1763662,1e-04,"1_27_11",1,27,11,297,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"4","holiday",20,159779543.75295,0.435601258981147,6391181.75011799,0.82896876451459,159779543.75295,0.435601258981147,6391181.75011799,0.82896876451459,TRUE,0.6324515,-96.6592857690398,-82.9673268303568,-123.293380578559,2.2768999280771,12.1686544302923,17.2801361667253,12.1686544302923,0.6035532307407,0,25956251.0259479,0.401387,64656754.1763662,1e-04,"1_27_11",1,27,11,297,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"5","tv_S",30,278.430664419708,7.59075568194837e-07,1.77344372241852,2.30024666640453e-07,278.430664419708,7.59075568194837e-07,1.77344372241852,2.30024666640453e-07,TRUE,0.6324515,-96.6592857690398,-82.9673268303568,-123.293380578559,2.2768999280771,12.1686544302923,17.2801361667253,12.1686544302923,0.6035532307407,0,25956251.0259479,0.401387,64656754.1763662,1e-04,"1_27_11",1,27,11,297,4,7774236.44,49517.4295541401,61065.9537301355,11548.5241759954,0.420386877731817,0.220230475524517,0.158795295806085,8.48967487846244e-06,3.58145351724996e-05,27921.6244238137,3,FALSE,4.1209782933802e-05,1.43093303207734e-06,2.6751740904271e-05,5.57547821999829e-05,0.213594531040983
"6","ooh_S",40,410.323362455454,1.11864991648328e-06,2.6135246016271,3.38987427481514e-07,410.323362455454,1.11864991648328e-06,2.6135246016271,3.38987427481514e-07,TRUE,0.6324515,-96.6592857690398,-82.9673268303568,-123.293380578559,2.2768999280771,12.1686544302923,17.2801361667253,12.1686544302923,0.6035532307407,0,25956251.0259479,0.401387,64656754.1763662,1e-04,"1_27_11",1,27,11,297,4,24719081.6,157446.379617834,157687.612296219,241.232678384549,1.25842827428319,0.700248202805798,0.234016680070276,7.99274189306696e-06,1.659945822807e-05,60242.9299956899,3,FALSE,3.52572232641849e-05,2.36527596931505e-06,1.12652575357069e-05,5.92061430111157e-05,0.0234681629782398
"7","print_S",50,474.684647744852,1.294115788041e-06,3.02346909391625,3.92159312209441e-07,474.684647744852,1.294115788041e-06,3.02346909391625,3.92159312209441e-07,TRUE,0.6324515,-96.6592857690398,-82.9673268303568,-123.293380578559,2.2768999280771,12.1686544302923,17.2801361667253,12.1686544302923,0.6035532307407,0,25956251.0259479,0.401387,64656754.1763662,1e-04,"1_27_11",1,27,11,297,4,1804904.93333333,11496.2097664544,17567.6741292936,6071.4643628392,0.992660303035196,0.0511297893770449,0.270723374562028,8.63467458580787e-05,0.00026299703600909,3802.32422073926,3,FALSE,0.000299294041475966,8.13534285962821e-06,0.000216793645236672,0.000381685837689616,0.127081422951576
"8","facebook_S",60,589.954982328854,1.60837318099993e-06,3.7576750466806,4.87389556843163e-07,589.954982328854,1.60837318099993e-06,3.7576750466806,4.87389556843163e-07,TRUE,0.6324515,-96.6592857690398,-82.9673268303568,-123.293380578559,2.2768999280771,12.1686544302923,17.2801361667253,12.1686544302923,0.6035532307407,0,25956251.0259479,0.401387,64656754.1763662,1e-04,"1_27_11",1,27,11,297,4,1002234.0659765,6383.65647118789,6384.04741159528,0.390940407384733,0.810371917619474,0.0283915322926395,0.336464649561612,0.000126944788034416,0.000588639921906912,1698.83142951038,3,FALSE,0.000476731987244877,1.02995951696966e-05,0.000372251261688857,0.000581009866976039,0.000128244973865795
"9","(Intercept)",1294769.35438962,203278788.639171,0.554191677346955,1294769.35438962,0.16793816595468,203278788.639171,0.554191677346955,1294769.35438962,0.16793816595468,TRUE,0.6319976,-96.6592633234497,-82.9673207970266,-123.293375542738,2.27689966642064,12.1686539931133,17.2801358166678,12.1686539931133,0.650458491314861,0,7883650.77723871,0.121843,64656754.1763662,1e-04,"1_30_8",1,30,8,327,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"10","trend",0,0,0,0,0,0,0,0,0,TRUE,0.6319976,-96.6592633234497,-82.9673207970266,-123.293375542738,2.27689966642064,12.1686539931133,17.2801358166678,12.1686539931133,0.650458491314861,0,7883650.77723871,0.121843,64656754.1763662,1e-04,"1_30_8",1,30,8,327,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"11","season",10,3742495.86530212,0.0102030323721447,23837.5532821791,0.00309185181552534,3742495.86530212,0.0102030323721447,23837.5532821791,0.00309185181552534,TRUE,0.6319976,-96.6592633234497,-82.9673207970266,-123.293375542738,2.27689966642064,12.1686539931133,17.2801358166678,12.1686539931133,0.650458491314861,0,7883650.77723871,0.121843,64656754.1763662,1e-04,"1_30_8",1,30,8,327,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"12","holiday",20,159779543.75295,0.435601244728765,6391181.75011799,0.828968756295458,159779543.75295,0.435601244728765,6391181.75011799,0.828968756295458,TRUE,0.6319976,-96.6592633234497,-82.9673207970266,-123.293375542738,2.27689966642064,12.1686539931133,17.2801358166678,12.1686539931133,0.650458491314861,0,7883650.77723871,0.121843,64656754.1763662,1e-04,"1_30_8",1,30,8,327,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"13","tv_S",30,239.492907416929,6.52920931704684e-07,1.52543253131802,1.97856352352362e-07,239.492907416929,6.52920931704684e-07,1.52543253131802,1.97856352352362e-07,TRUE,0.6319976,-96.6592633234497,-82.9673207970266,-123.293375542738,2.27689966642064,12.1686539931133,17.2801358166678,12.1686539931133,0.650458491314861,0,7883650.77723871,0.121843,64656754.1763662,1e-04,"1_30_8",1,30,8,327,3,7774236.44,49517.4295541401,59064.1245109991,9546.69495685895,0.294532458978641,0.220230475524517,0.161392292015753,5.94805630321769e-06,3.08059716559032e-05,32461.2387224727,3,FALSE,4.1209782933802e-05,1.43093303207734e-06,2.6751740904271e-05,5.57547821999829e-05,0.16255578746818
"14","ooh_S",40,288.796687973285,7.87336061925544e-07,1.83946935014831,2.38588523852871e-07,288.796687973285,7.87336061925544e-07,1.83946935014831,2.38588523852871e-07,TRUE,0.6319976,-96.6592633234497,-82.9673207970266,-123.293375542738,2.27689966642064,12.1686539931133,17.2801358166678,12.1686539931133,0.650458491314861,0,7883650.77723871,0.121843,64656754.1763662,1e-04,"1_30_8",1,30,8,327,3,24719081.6,157446.379617834,158153.368162602,706.988544767286,0.182256083512778,0.700248202805798,0.194617702466757,1.15757557560335e-06,1.16831479683001e-05,85593.3694166417,3,FALSE,3.52572232641849e-05,2.36527596931505e-06,1.12652575357069e-05,5.92061430111157e-05,0.0109730105486849
"15","print_S",50,423.058730783639,1.15336985820704e-06,2.69464159734802,3.49508710744199e-07,423.058730783639,1.15336985820704e-06,2.69464159734802,3.49508710744199e-07,TRUE,0.6319976,-96.6592633234497,-82.9673207970266,-123.293375542738,2.27689966642064,12.1686539931133,17.2801358166678,12.1686539931133,0.650458491314861,0,7883650.77723871,0.121843,64656754.1763662,1e-04,"1_30_8",1,30,8,327,3,1804904.93333333,11496.2097664544,18076.4432635026,6580.23349704829,0.914286902313984,0.0511297893770449,0.285095784066715,7.952942064278e-05,0.000234393913480155,4266.3223850506,3,FALSE,0.000299294041475966,8.13534285962821e-06,0.000216793645236672,0.000381685837689616,0.138619816004259
"16","facebook_S",60,532.569551351263,1.45192528420252e-06,3.39216274746027,4.39980749078527e-07,532.569551351263,1.45192528420252e-06,3.39216274746027,4.39980749078527e-07,TRUE,0.6319976,-96.6592633234497,-82.9673207970266,-123.293375542738,2.27689966642064,12.1686539931133,17.2801358166678,12.1686539931133,0.650458491314861,0,7883650.77723871,0.121843,64656754.1763662,1e-04,"1_30_8",1,30,8,327,3,1002234.0659765,6383.65647118789,6389.48863281275,5.83216162485405,0.52790637722542,0.0283915322926395,0.358894221450775,8.26965516719269e-05,0.000531382407993055,1881.88390311384,3,FALSE,0.000476731987244877,1.02995951696966e-05,0.000372251261688857,0.000581009866976039,0.000856739396955819
"17","(Intercept)",1294753.91042902,203276363.937355,0.554185120460519,1294753.91042902,0.16793616770653,203276363.937355,0.554185120460519,1294753.91042902,0.16793616770653,TRUE,0.6332588,-96.6593756972365,-82.9673797556441,-123.293392487526,2.27690097640269,12.1686582652925,17.2801369945592,12.1686582652925,0.288103292724629,0,36861590.9908649,0.570069,64656754.1763662,1e-04,"1_32_11",1,32,11,352,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"18","trend",0,0,0,0,0,0,0,0,0,TRUE,0.6332588,-96.6593756972365,-82.9673797556441,-123.293392487526,2.27690097640269,12.1686582652925,17.2801369945592,12.1686582652925,0.288103292724629,0,36861590.9908649,0.570069,64656754.1763662,1e-04,"1_32_11",1,32,11,352,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"19","season",10,3742495.86530212,0.0102030333569653,23837.5532821791,0.0030918519059602,3742495.86530212,0.0102030333569653,23837.5532821791,0.0030918519059602,TRUE,0.6332588,-96.6593756972365,-82.9673797556441,-123.293392487526,2.27690097640269,12.1686582652925,17.2801369945592,12.1686582652925,0.288103292724629,0,36861590.9908649,0.570069,64656754.1763662,1e-04,"1_32_11",1,32,11,352,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"20","holiday",20,159779543.75295,0.435601286774016,6391181.75011799,0.828968780542311,159779543.75295,0.435601286774016,6391181.75011799,0.828968780542311,TRUE,0.6332588,-96.6593756972365,-82.9673797556441,-123.293392487526,2.27690097640269,12.1686582652925,17.2801369945592,12.1686582652925,0.288103292724629,0,36861590.9908649,0.570069,64656754.1763662,1e-04,"1_32_11",1,32,11,352,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"21","tv_S",30,618.611940451197,1.68649972922042e-06,3.94020344236431,5.11064427583374e-07,618.611940451197,1.68649972922042e-06,3.94020344236431,5.11064427583374e-07,TRUE,0.6332588,-96.6593756972365,-82.9673797556441,-123.293392487526,2.27690097640269,12.1686582652925,17.2801369945592,12.1686582652925,0.288103292724629,0,36861590.9908649,0.570069,64656754.1763662,1e-04,"1_32_11",1,32,11,352,6,7774236.44,49517.4295541401,63119.8609978668,13602.4314437267,3.24416443595427,0.220230475524517,0.159715359928309,6.55156066291212e-05,7.95720512523024e-05,12567.2266111283,2,FALSE,5.17197286332791e-05,3.70741573872599e-06,1.93981003479029e-05,8.42081279037651e-05,0.507135363739369
"22","ooh_S",40,1909.91286015549,5.20692749502618e-06,12.1650500646847,1.57786886864415e-06,1909.91286015549,5.20692749502618e-06,12.1650500646847,1.57786886864415e-06,TRUE,0.6332588,-96.6593756972365,-82.9673797556441,-123.293392487526,2.27690097640269,12.1686582652925,17.2801369945592,12.1686582652925,0.288103292724629,0,36861590.9908649,0.570069,64656754.1763662,1e-04,"1_32_11",1,32,11,352,6,24719081.6,157446.379617834,163455.795047588,6009.41542975346,12.1780099647253,0.700248202805798,0.493107875785508,7.73470307433212e-05,7.726471764046e-05,12942.5180151871,2,FALSE,7.26061711531175e-05,1.41109773206055e-06,6.02407367719892e-05,8.49084000026269e-05,0.702499222869416
"23","print_S",50,648.483134449575,1.76793650289959e-06,4.13046582451958,5.35742426282976e-07,648.483134449575,1.76793650289959e-06,4.13046582451958,5.35742426282976e-07,TRUE,0.6332588,-96.6593756972365,-82.9673797556441,-123.293392487526,2.27690097640269,12.1686582652925,17.2801369945592,12.1686582652925,0.288103292724629,0,36861590.9908649,0.570069,64656754.1763662,1e-04,"1_32_11",1,32,11,352,6,1804904.93333333,11496.2097664544,14635.7848216973,3139.57505524295,1.6375178192458,0.0511297893770449,0.167427607605681,0.000142439799943807,0.000359289357834456,2783.27197339576,2,FALSE,0.000340986726426646,7.10360762982512e-06,0.000278555809695109,0.000402735302549397,0.0734065528446333
"24","facebook_S",60,696.20714412504,1.8980447729344e-06,4.43444040843974,5.75169475927355e-07,696.20714412504,1.8980447729344e-06,4.43444040843974,5.75169475927355e-07,TRUE,0.6332588,-96.6593756972365,-82.9673797556441,-123.293392487526,2.27690097640269,12.1686582652925,17.2801369945592,12.1686582652925,0.288103292724629,0,36861590.9908649,0.570069,64656754.1763662,1e-04,"1_32_11",1,32,11,352,6,1002234.0659765,6383.65647118789,6431.75453363422,48.0980624463245,0.937110756017076,0.0283915322926395,0.179749156680501,0.000146798431313879,0.000694655238491329,1439.56303010372,2,FALSE,0.00055973633537762,1.49625763800686e-05,0.000428905627625547,0.000690469222279805,0.0108133033187669
