"","ds","dep_var","trend","season","holiday","tv_S","ooh_S","print_S","facebook_S","intercept","depVarHat","solID","cluster","top_sol"
"1",2016-01-04,2171506.66666667,0,7570141.64776567,0,0.457125564906198,21.1021773910713,4.89288053916254,4.46981472001224,1294760.42201489,8864932.99177878,"1_43_6",4,TRUE
"2",2016-01-11,2464131.66666667,0,5411402.17284247,0,0.126188126551209,11.1458820048413,29.8778943400408,5.34822251115536,1294760.42201489,6706209.09304435,"1_43_6",4,TRUE
"3",2016-01-18,2012520,0,3521186.1153984,0,0.0172407454841573,4.71505936321747,2.74739418530855,4.1977322899403,1294760.42201489,4815958.21483987,"1_43_6",4,TRUE
"4",2016-01-25,1738911.66666667,0,2609031.29318887,0,0.00234816329626724,1.76735290493528,9.95459050391208,2.69546272075283,1294760.42201489,3903806.13495805,"1_43_6",4,TRUE
"5",2016-02-01,1772306.66666667,0,2238974.74705764,0,0.346611450842065,9.40396493096912,0.482005899279918,0.0232664904171648,1294760.42201489,3533745.4249213,"1_43_6",4,TRUE
"6",2016-02-08,1809058.33333333,0,1652092.90730297,0,0.0476602069764164,3.84427191294498,1.34268446205488,2.47522991170036,1294760.42201489,2946861.03916436,"1_43_6",4,TRUE
"7",2016-02-15,1952740,0,649594.982976159,0,5.75206412005998,1.41906053400583,0.542336906694828,0.539117585823552,1294760.42201489,1944363.6575702,"1_43_6",4,TRUE
"8",2016-02-22,1507805,0,-472921.869267846,0,0.938477570508783,0.502560329427443,0.0214603983459888,0.00448615913476392,1294760.42201489,821840.019731503,"1_43_6",4,TRUE
"9",2016-02-29,1510391.66666667,0,-1548642.14272459,0,3.480254058832,0.175292361470273,0.00084068939499375,0.848409258246031,1294760.42201489,-253877.21591333,"1_43_6",4,TRUE
"10",2016-03-07,1588840,0,-2710402.53627167,0,0.526537540023524,0.0608136044779547,14.9260269040106,0.00709647375731427,1294760.42201489,-1415626.59378226,"1_43_6",4,TRUE
"11",2016-03-14,1605990,0,-3956037.90391523,0,0.983297720356145,9.48997146680997,0.819540623945314,5.85325298831927e-05,1294760.42201489,-2661266.18903199,"1_43_6",4,TRUE
"12",2016-03-21,1356010,0,-4927078.3560747,535325.611958452,0.137757732348074,3.88588873094826,0.0326049293625736,4.82726860193185e-07,1294760.42201489,-3096988.26584948,"1_43_6",4,TRUE
"13",2016-03-28,2103936.66666667,0,-5384170.84729653,22094080.1041598,0.0188277651360534,12.1003317085326,10.6338298662714,10.2551551655654,1294760.42201489,18004702.6870226,"1_43_6",4,TRUE
"14",2016-04-04,1120835,0,-5719564.49791383,0,0.00256443020830191,5.21841632988552,0.523341950987636,0.107029863923752,1294760.42201489,-4424798.22454637,"1_43_6",4,TRUE
"15",2016-04-11,1141140,0,-6606767.17350879,0,0.000349123873692272,12.2609500947749,0.0207011275307711,0.000884255401982732,1294760.42201489,-5311994.4686093,"1_43_6",4,TRUE
"16",2016-04-18,1166880,0,-8043001.36465698,0,0.143580623046315,5.30505491064446,0.000810933891870421,0.761011590921626,1294760.42201489,-6748234.73218403,"1_43_6",4,TRUE
"17",2016-04-25,888806.666666667,0,-9061862.10675798,6620574.88213266,0.0196269012102424,2.00950797201618,3.17549087373564e-05,0.00635612790039984,1294760.42201489,-1146524.76708767,"1_43_6",4,TRUE
"18",2016-05-02,898873.333333333,0,-8740650.1543563,-2155446.45263929,0.00267333785329702,0.718771767191384,8.37597553912063,5.2425430676538e-05,1294760.42201489,-9601327.08750762,"1_43_6",4,TRUE
"19",2016-05-09,889373.333333334,0,-7441887.83517549,0,0.000363951801537201,10.2207628145143,0.390905054225874,4.32360621360733e-07,1294760.42201489,-6147116.80112834,"1_43_6",4,TRUE
"20",2016-05-16,1915375,0,-6691952.379578,12462628.7454868,4.95455914422959e-05,4.24517444217283,0.0154228506734363,2.45959586666222,1294760.42201489,7065443.50816641,"1_43_6",4,TRUE
"21",2016-05-23,1006845,0,-7608247.91748424,0,6.744693656356e-06,16.3071452804693,0.000604104454058725,0.02114427370059,1294760.42201489,-6313471.16656894,"1_43_6",4,TRUE
"22",2016-05-30,869198.333333334,0,-9608321.74842267,0,9.18161134568002e-07,7.69232164755711,2.36556959227482e-05,0.000174440905597201,1294760.42201489,-8313553.63388711,"1_43_6",4,TRUE
"23",2016-06-06,727250,0,-10954541.2884309,0,1.24990069311149e-07,3.04389076730546,9.26306210653844e-07,1.43864398390656e-06,1294760.42201489,-9659777.82252271,"1_43_6",4,TRUE
"24",2016-06-13,753730,0,-10575150.0641594,0,1.70150058431084e-08,1.10813513609501,3.62721445150355e-08,1.18647090649888e-08,1294760.42201489,-9280388.5340093,"1_43_6",4,TRUE
"25",2016-06-20,999196.666666667,0,-9077954.45723865,0,0.503528648146921,16.1336395928611,1.42033857711934e-09,0.917003064646213,1294760.42201489,-7783176.48105245,"1_43_6",4,TRUE
"26",2016-06-27,845843.333333333,0,-7834583.72936783,0,0.0695542859381634,7.58114728250944,5.56173807552531e-11,0.00767905333034677,1294760.42201489,-6539815.64897232,"1_43_6",4,TRUE
"27",2016-07-04,1126016.66666667,0,-7322868.81122,0,0.202031581733621,2.99367332116876,0.925027022096481,6.33383230467596e-05,1294760.42201489,-6028104.26840985,"1_43_6",4,TRUE
"28",2016-07-11,1140978.33333333,0,-6746939.62737148,0,0.0276636701692407,1.08891237907714,0.0368775933819782,5.22361023930556e-07,1294760.42201489,-5452178.05190242,"1_43_6",4,TRUE
"29",2016-07-18,1242656.66666667,0,-5300436.76398316,0,0.0150648559619571,23.1239926400382,0.957244112887271,2.24930988433853,1294760.42201489,-4005649.99635678,"1_43_6",4,TRUE
"30",2016-07-25,1293483.33333333,0,-3378575.6085036,0,0.00205168184053845,12.8630767082984,0.0381860454075548,0.0192667132294219,1294760.42201489,-2083802.26390756,"1_43_6",4,TRUE
"31",2016-08-01,1484843.33333333,0,-2154053.67919482,0,1.03662369584325,18.9689425719076,0.00149638085468087,6.09156738765941,1294760.42201489,-859267.158549889,"1_43_6",4,TRUE
"32",2016-08-08,1485698.33333333,0,-2049575.10866252,0,0.145458446118171,9.51250487696789,0.0101052478866791,0.0558628142320423,1294760.42201489,-754804.962716242,"1_43_6",4,TRUE
"33",2016-08-15,1556608.33333333,0,-2077190.14570824,0,1.39146086999823,3.89681510710525,0.000395776465010108,0.107919984602566,1294760.42201489,-782424.327101612,"1_43_6",4,TRUE
"34",2016-08-22,1391206.66666667,0,-947183.281315231,0,0.197327276615092,1.43977612486828,10.7108792606728,0.0438875700972794,1294760.42201489,347589.532569892,"1_43_6",4,TRUE
"35",2016-08-29,2018783.33333333,0,1380784.33609914,0,1.06993748023176,17.987894302783,0.528116707224412,0.000362210010196246,1294760.42201489,2675564.34442473,"1_43_6",4,TRUE
"36",2016-09-05,2170721.66666667,0,3611669.23436335,0,1.36667155992819,16.2592360478332,0.577906892435653,8.43737291166784e-05,1294760.42201489,4906447.86027712,"1_43_6",4,TRUE
"37",2016-09-12,2247670,0,4599701.14855804,0,0.19366781440779,19.2798697078334,0.0228837177472273,6.95843538927106e-07,1294760.42201489,5894481.06699487,"1_43_6",4,TRUE
"38",2016-09-19,2192026.66666667,0,4589725.02351906,0,0.0265120182824641,12.9834327936896,29.1138123783507,4.28377435408964,1294760.42201489,5884531.8530655,"1_43_6",4,TRUE
"39",2016-09-26,1895213.33333333,0,4757101.03077058,0,0.00361186128701861,18.9078041540069,2.58790143824199,0.0380210935984804,1294760.42201489,6051882.99012402,"1_43_6",4,TRUE
"40",2016-10-03,2232910,0,5729571.01026851,978597.864110552,16.3101981080295,18.2344855595751,7.71631131899449,1.82792818401375,1294760.42201489,8002973.38531712,"1_43_6",4,TRUE
"41",2016-10-10,2406035,0,6980859.92496085,0,4.18661996486121,8.98771803189779,11.1192302403882,3.49840337564336,1294760.42201489,8275648.13894735,"1_43_6",4,TRUE
"42",2016-10-17,2252445,0,7768810.1069995,0,11.0393992588512,8.91409697062436,0.553722435525028,8.83026210601294,1294760.42201489,9063599.86649516,"1_43_6",4,TRUE
"43",2016-10-24,2663125,0,8262422.37951477,0,2.20315684467946,18.356692510827,5.71181118952825,12.0348488715481,1294760.42201489,9557221.10803907,"1_43_6",4,TRUE
"44",2016-10-31,2974771.66666667,0,9286517.36138721,0,11.9123906502867,9.07378865031737,0.251238876453356,14.7975040645754,1294760.42201489,10581313.8183243,"1_43_6",4,TRUE
"45",2016-11-07,2826128.33333333,0,10981851.9903018,0,2.46834921140286,17.6178654156621,8.27253967987354,17.5595098019988,1294760.42201489,12276658.3305808,"1_43_6",4,TRUE
"46",2016-11-14,3182900,0,12203371.8687721,0,5.87756043898712,8.56080087996551,0.385165256231653,11.521287969243,1294760.42201489,13498158.6356015,"1_43_6",4,TRUE
"47",2016-11-21,2964696.66666667,0,11640177.3746173,0,1.53124700263813,17.6891402242471,3.21726789741505,15.8205815625483,1294760.42201489,12934976.0548689,"1_43_6",4,TRUE
"48",2016-11-28,2848525,0,9434760.14171432,0,0.218065171964436,8.60952889205668,1.7713318361185,9.05758786915184,1294760.42201489,10729540.220243,"1_43_6",4,TRUE
"49",2016-12-05,2740160,0,7296978.43162942,0,0.467346163213415,21.2437944537419,0.0718057409590583,1.12226623273574,1294760.42201489,8591761.7588569,"1_43_6",4,TRUE
"50",2016-12-12,2380508.33333333,0,6813979.53682115,0,0.0644880861084036,11.2604958390793,0.00281564245805865,2.1899971808119,1294760.42201489,8108753.47663279,"1_43_6",4,TRUE
"51",2016-12-19,2230915,0,7814268.42750434,-6706039.89857526,0.00879515108248959,23.7597581138435,0.00011026042300068,0.269998448904438,1294760.42201489,2403012.98960594,"1_43_6",4,TRUE
"52",2016-12-26,3659425,0,8623564.31359761,20572070.8575582,11.6875326498784,13.4414273394088,4.3175683746008e-06,14.2869342694276,1294760.42201489,30490435.0090692,"1_43_6",4,TRUE
"53",2017-01-02,2827008.33333333,0,7874386.76438556,0,8.06161217517072,25.9044477969045,31.5865319352116,7.32931792906576,1294760.42201489,9169220.06831029,"1_43_6",4,TRUE
