"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up","sd","dist100"
"1","facebook_S",1,3,0.000645269241246643,6.29585364152595e-05,"[0, 0]",0.000178828509560876,0.00111721455707539,8.90368160656204e-05,1.12773705014723e-05
"2","facebook_S",2,17,0.00055973633537762,1.49625763800686e-05,"[0, 0]",0.000428905627625547,0.000690469222279805,5.98503055202745e-05,3.85115359287684e-06
"3","facebook_S",3,24,0.000476731987244877,1.02995951696966e-05,"[0, 0]",0.000372251261688857,0.000581009866976039,4.93951231921903e-05,3.10655405728851e-06
"4","facebook_S",4,15,0.000585575945385404,1.68172633450978e-05,"[0, 0]",0.000446669861158624,0.000726062561763143,6.2924437620508e-05,4.093349250965e-06
"5","facebook_S",5,19,0.00041124869051089,1.19800817629845e-05,"[0, 0]",0.000301483904464171,0.000520904058392624,5.08271823226536e-05,3.2431769552905e-06
"6","facebook_S",6,29,0.000386944066391954,1.01569227207938e-05,"[0, 0]",0.000275147636154564,0.000499229869388651,5.37453832098437e-05,3.34922221872499e-06
"7","ooh_S",1,3,4.27032834175429e-05,1.50723654324838e-06,"[0, 0]",3.15698435947644e-05,5.40349424204335e-05,2.1315543611662e-06,2.69981894424257e-07
"8","ooh_S",2,17,7.26061711531175e-05,1.41109773206055e-06,"[0, 0]",6.02407367719892e-05,8.49084000026269e-05,5.6443909282422e-06,3.63196415021436e-07
"9","ooh_S",3,24,3.52572232641849e-05,2.36527596931505e-06,"[0, 0]",1.12652575357069e-05,5.92061430111157e-05,1.13434650549752e-05,7.13412278639991e-07
"10","ooh_S",4,15,4.76224242827116e-05,1.84769263643079e-06,"[0, 0]",3.22297627894211e-05,6.2926305085642e-05,6.91343280158908e-06,4.49731392923223e-07
"11","ooh_S",5,19,5.79103488415731e-05,1.87687012533633e-06,"[0, 0]",4.06891520330133e-05,7.50648048835176e-05,7.96288555819059e-06,5.08095191584702e-07
"12","ooh_S",6,29,6.58254911721504e-05,1.18998934575969e-06,"[0, 0]",5.26659876150578e-05,7.89195564816092e-05,6.29683174339317e-06,3.92396286397351e-07
"13","print_S",1,3,0.000477965775738013,7.14510743880898e-05,"[0, 0]",0,0.00100732514962011,0.000101047078445766,1.22163566314307e-05
"14","print_S",2,17,0.000340986726426646,7.10360762982512e-06,"[0, 0]",0.000278555809695109,0.000402735302549397,2.84144305193005e-05,1.82836721103928e-06
"15","print_S",3,24,0.000299294041475966,8.13534285962821e-06,"[0, 0]",0.000216793645236672,0.000381685837689616,3.9015733739162e-05,2.45377434274008e-06
"16","print_S",4,15,0.000309176666647082,1.11960514407229e-05,"[0, 0]",0.000215499127500042,0.000401504126288534,4.18917885758819e-05,2.72513713070966e-06
"17","print_S",5,19,0.000264582520632779,1.40984858527608e-05,"[0, 0]",0.000135210688337503,0.000393430289603416,5.98148097056986e-05,3.8166587947203e-06
"18","print_S",6,29,0.000292168806837491,8.73343791315235e-06,"[0, 0]",0.000195551054153999,0.000388228336947923,4.62130096176481e-05,2.87983133362849e-06
"19","tv_S",1,3,2.91722317698661e-05,5.75391582827531e-07,"[0, 0]",2.48590221918728e-05,3.34351337714263e-05,8.13726580110017e-07,1.03066310502763e-07
"20","tv_S",2,17,5.17197286332791e-05,3.70741573872599e-06,"[0, 0]",1.93981003479029e-05,8.42081279037651e-05,1.4829662954904e-05,9.54235893592627e-07
"21","tv_S",3,24,4.1209782933802e-05,1.43093303207734e-06,"[0, 0]",2.6751740904271e-05,5.57547821999829e-05,6.86251374298597e-06,4.31596654360443e-07
"22","tv_S",4,15,4.36641268561806e-05,1.74801463348968e-06,"[0, 0]",2.90741067039321e-05,5.81146538562879e-05,6.54047186558559e-06,4.25469604884111e-07
"23","tv_S",5,19,9.70689259751783e-05,3.30390293399257e-06,"[0, 0]",6.69505855335218e-05,0.000127462934671339,1.40172730140497e-05,8.94413082484009e-07
"24","tv_S",6,29,6.23017246848166e-05,2.21835860723402e-06,"[0, 0]",3.77471218421596e-05,8.66885940269759e-05,1.17384503870017e-05,7.31498716755754e-07
