"","facebook_S_alphas","facebook_S_gammas","facebook_S_thetas","ooh_S_alphas","ooh_S_gammas","ooh_S_thetas","print_S_alphas","print_S_gammas","print_S_thetas","tv_S_alphas","tv_S_gammas","tv_S_thetas","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"1",2.721735,0.7402734,0.0307833,1.8483675,0.6704988,0.101208151,2.612295,0.9137964,0.3776275,2.153395,0.9155331,0.429739,0.6324515,-96.6592857690398,-82.9673268303568,-123.293380578559,2.2768999280771,12.1686544302923,17.2801361667253,12.1686544302923,0.6035532307407,0,25956251.0259479,0.401387,64656754.1763662,1e-04,1,0.14457893371582,77.8467321395874,"1_27_11",1,27,11,297,FALSE,TRUE,4,0.277255440679683,3,FALSE
"2",2.9252,0.7677995,0.0754122,2.9085375,0.6704988,0.1670854,2.5646825,0.9832182,0.3932203,2.2819725,0.9314903,0.396675,0.6319976,-96.6592633234497,-82.9673207970266,-123.293375542738,2.27689966642064,12.1686539931133,17.2801358166678,12.1686539931133,0.650458491314861,0,7883650.77723871,0.121843,64656754.1763662,1e-04,1,0.150185108184814,83.1428120136261,"1_30_8",1,30,8,327,FALSE,TRUE,3,0.29551667126306,3,FALSE
"3",2.648625,0.727364,0.1498422,0.5531775,0.4746451,0.3896791,2.37649,0.724039,0.2524285,1.0742475,0.9313741,0.4585425,0.6332588,-96.6593756972365,-82.9673797556441,-123.293392487526,2.27690097640269,12.1686582652925,17.2801369945592,12.1686582652925,0.288103292724629,0,36861590.9908649,0.570069,64656754.1763662,1e-04,1,0.12664008140564,87.5800700187683,"1_32_11",1,32,11,352,FALSE,TRUE,6,0.191122264535552,2,FALSE
"4",2.9252,0.7677995,0.0754122,2.9085375,0.6704988,0.1670854,2.5646825,0.9832182,0.3932203,2.2819725,0.9100437,0.396675,0.6319976,-96.6592647588857,-82.9673217890639,-123.293377932561,2.27689968315405,12.1686540649969,17.2801359827927,12.1686540649969,0.649192293902844,0,7883650.77723871,0.121843,64656754.1763662,1e-04,1,0.146436929702759,88.4890801906586,"1_33_5",1,33,5,357,FALSE,TRUE,3,0.295012862252361,3,FALSE
"5",2.8546075,0.7782855,0.00671061,2.454755,0.36446202,0.3490162,1.127955,0.7206832,0.2321302,2.1289825,0.9922517,0.403082,0.6339677,-96.6593376983643,-82.9673278834636,-123.293303319135,2.27690053343612,12.1686545066011,17.2801307961514,12.1686545066011,0.539031933745435,0,22626308.6161295,0.34988,64656754.1763662,1e-04,1,0.158990144729614,88.9942481517792,"1_33_8",1,33,8,360,FALSE,TRUE,4,0.253711484325074,1,FALSE
"6",2.97797,0.7686122,0.0792912,2.639115,0.4493387,0.10353715,2.985925,0.8864054,0.3556516,1.93669,0.8642175,0.423321,0.6319895,-96.6592848755775,-82.9673196175963,-123.2933660062,2.27689991766168,12.168653907651,17.2801351537495,12.168653907651,0.513209862159958,0,2871759.99675083,0.0443199,64656754.1763662,1e-04,1,0.169038057327271,93.2189869880676,"1_35_10",1,35,10,384,FALSE,TRUE,2,0.244906033599348,3,FALSE
"7",2.9935725,0.790875,0.0990663,2.3762125,0.4280741,0.2547787,2.6010025,0.8925934,0.3411253,1.4251525,0.9790973,0.451021,0.6311021,-96.6593081631037,-82.9673243841788,-123.293348136526,2.27690018913287,12.1686542530406,17.2801339115659,12.1686542530406,0.455632860057682,0,10837393.15827,0.167531,64656754.1763662,1e-04,1,0.16825795173645,103.570078134537,"1_41_1",1,41,1,441,FALSE,TRUE,2,0.226823720804679,3,FALSE
"8",2.97797,0.7686122,0.0792912,2.639115,0.4493387,0.10353715,2.6594925,0.9612263,0.3835174,2.3845575,0.8899054,0.445455,0.6319895,-96.6592776780856,-82.9673139573661,-123.293360552501,2.27689983375789,12.168653497507,17.2801347746439,12.168653497507,0.514170741016096,0,2871759.99675083,0.0443199,64656754.1763662,1e-04,1,0.169941902160645,104.148104190826,"1_41_4",1,41,4,444,FALSE,TRUE,2,0.245226563100256,3,FALSE
"9",2.799235,0.7635372,0.1938204,1.0445025,0.5470804,0.1700497,2.962835,0.9372037,0.3439177,1.696995,0.9264783,0.4803215,0.6320774,-96.6593339540865,-82.967329497988,-123.293376608661,2.27690048978772,12.1686546235906,17.2801358907638,12.1686546235906,0.416395740232532,0,43063040.6147414,0.665992,64656754.1763662,1e-04,1,0.162681102752686,104.682949066162,"1_41_7",1,41,7,447,FALSE,TRUE,5,0.215947131543141,4,FALSE
"10",2.780735,0.8062148,0.1781013,0.74727325,0.4184253,0.2415898,2.669065,0.8169402,0.2970169,2.1660525,0.8398162,0.398267,0.6333479,-96.6593388141596,-82.9673343063188,-123.293363124548,2.27690054644335,12.1686549720054,17.2801349534359,12.1686549720054,0.30519280516865,0,13931038.7636174,0.215383,64656754.1763662,1e-04,1,0.170675992965698,108.628147125244,"1_43_6",1,43,6,468,FALSE,TRUE,1,0.193326149772264,4,TRUE
